City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Sandomierz,PL,2021-12-10 02:08:35,50.6827,21.749,33.78,92,100,5.01
121,Ulkan,RU,2021-12-10 02:08:35,57.243,107.3223,8.31,90,100,10.4
122,Los Llanos De Aridane,ES,2021-12-10 02:08:36,28.6585,-17.9182,61.12,77,75,1.99
123,Pemangkat,ID,2021-12-10 02:08:36,1.1667,108.9667,81.93,78,100,7.16
124,Port Elizabeth,ZA,2021-12-10 02:08:37,-33.918,25.5701,68.29,100,75,3.44
125,Chokurdakh,RU,2021-12-10 02:08:30,70.6333,147.9167,-47.65,100,72,3.62
126,Broken Hill,AU,2021-12-10 02:08:37,-31.95,141.4333,71.71,29,0,15.66
127,Cabo San Lucas,MX,2021-12-10 02:08:38,22.8909,-109.9124,76.51,70,1,23.02
128,Jackson,US,2021-12-10 02:06:32,42.4165,-122.8345,42.67,78,90,3.44
129,San Cristobal,VE,2021-12-10 02:08:38,7.7669,-72.225,71.78,96,100,2.75
130,Kununurra,AU,2021-12-10 01:59:02,-15.7667,128.7333,93.18,52,40,10.36
131,Rundu,NA,2021-12-10 02:05:31,-17.9333,19.7667,69.39,72,100,3.8
132,Pacific Grove,US,2021-12-10 02:08:18,36.6177,-121.9166,53.71,79,75,3.0
133,Zhangye,CN,2021-12-10 02:08:41,38.9342,100.4517,30.56,47,90,4.54
134,Zeya,RU,2021-12-10 02:08:41,53.75,127.2667,12.52,64,48,2.1
135,Salalah,OM,2021-12-10 02:08:41,17.0151,54.0924,78.89,50,75,10.36
136,Porto Novo,BJ,2021-12-10 02:08:42,6.4965,2.6036,77.68,86,0,1.86
137,Isiro,CD,2021-12-10 02:08:42,2.7739,27.616,65.34,86,13,1.7
138,Saldanha,ZA,2021-12-10 02:08:42,-33.0117,17.9442,61.34,97,22,4.38
139,Calbuco,CL,2021-12-10 02:08:43,-41.768,-73.1273,58.21,88,0,12.01
140,Ancud,CL,2021-12-10 02:08:27,-41.8697,-73.8203,60.42,89,0,3.47
141,Kloulklubed,PW,2021-12-10 02:08:43,7.0419,134.2556,86.5,75,100,7.4
142,Tautira,PF,2021-12-10 02:08:44,-17.7333,-149.15,84.22,64,19,9.28
143,Bilma,NE,2021-12-10 02:08:44,18.6853,12.9164,62.13,15,100,7.7
144,Camacupa,AO,2021-12-10 02:08:45,-12.0167,17.4833,59.63,97,100,0.38
145,Cidreira,BR,2021-12-10 02:08:45,-30.1811,-50.2056,66.76,67,4,9.57
146,Alta Floresta,BR,2021-12-10 02:08:45,-9.8756,-56.0861,73.24,97,100,2.06
147,Puerto Escondido,MX,2021-12-10 01:58:50,15.85,-97.0667,79.81,78,86,5.53
148,Talnakh,RU,2021-12-10 02:08:27,69.4865,88.3972,-26.64,100,70,5.44
149,Palmares Do Sul,BR,2021-12-10 02:08:46,-30.2578,-50.5097,64.44,71,0,7.38
150,Butaritari,KI,2021-12-10 02:08:29,3.0707,172.7902,82.26,77,100,8.43
151,Bathsheba,BB,2021-12-10 02:08:47,13.2167,-59.5167,79.41,73,20,16.11
152,Kasama,ZM,2021-12-10 02:08:47,-10.2129,31.1808,65.91,68,56,1.92
153,Vostok,RU,2021-12-10 02:06:13,46.4856,135.8833,32.85,83,100,0.87
154,Whitehorse,CA,2021-12-10 02:08:48,60.7161,-135.0538,7.02,84,75,31.0
155,Ostroveni,RO,2021-12-10 02:08:48,43.8,23.9,39.24,87,100,2.17
156,Muhlhausen,DE,2021-12-10 02:08:49,51.2167,10.45,38.07,96,100,5.3
157,Osakarovka,KZ,2021-12-10 02:08:49,50.565,72.5692,4.24,74,8,6.31
158,Port Hardy,CA,2021-12-10 02:08:50,50.6996,-127.4199,38.75,94,100,5.59
159,Klichka,RU,2021-12-10 02:08:50,50.4457,117.996,8.49,83,100,3.29
160,Pindi Gheb,PK,2021-12-10 02:08:50,33.2402,72.2661,51.82,32,0,4.79
161,Tomatlan,MX,2021-12-10 02:08:51,19.9333,-105.25,68.85,77,56,3.38
162,Jinja,UG,2021-12-10 02:08:51,0.439,33.2032,66.79,86,43,4.21
163,Hithadhoo,MV,2021-12-10 02:05:29,-0.6,73.0833,81.52,77,79,11.83
164,Port Macquarie,AU,2021-12-10 02:08:52,-31.4333,152.9167,82.89,34,0,2.59
165,Roma,US,2021-12-10 02:08:52,43.2128,-75.4557,31.84,83,75,9.22
166,Chuy,UY,2021-12-10 02:08:53,-33.6971,-53.4616,62.49,77,83,7.4
167,Nouna,BF,2021-12-10 02:08:53,12.7333,-3.8667,71.13,15,44,6.29
168,Grootfontein,NA,2021-12-10 02:08:54,-19.5667,18.1167,67.78,71,100,6.26
169,General Roca,AR,2021-12-10 02:08:54,-39.0333,-67.5833,68.4,35,0,8.99
170,Smidovich,RU,2021-12-10 02:08:54,48.6,133.8167,19.8,87,100,2.3
