City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Ponta Delgada,PT,37.7333,-25.6667,56.5,82,20,3.44,few clouds
149,Clarksburg,US,39.2807,-80.3445,45.28,74,90,0.0,overcast clouds
150,Kumasi,GH,6.6885,-1.6244,71.82,72,14,2.08,few clouds
151,Tura,IN,25.5198,90.2201,66.7,77,0,2.04,clear sky
152,Deputatskiy,RU,69.3,139.9,-35.66,99,59,3.67,broken clouds
153,Yellowknife,CA,62.456,-114.3525,-1.59,96,95,8.48,overcast clouds
154,Russell,US,32.3502,-85.1999,54.97,92,90,5.75,overcast clouds
155,Thompson,CA,55.7435,-97.8558,6.84,93,100,7.4,overcast clouds
156,Kuala Terengganu,MY,5.3302,103.1408,79.59,83,100,10.78,overcast clouds
157,Sant Julia De Loria,AD,42.4625,1.4825,42.8,95,99,3.85,snow
158,Castro,BR,-24.7911,-50.0119,53.69,93,0,5.66,clear sky
159,Meulaboh,ID,4.1363,96.1285,79.95,84,99,3.87,overcast clouds
160,Vung Tau,VN,10.346,107.0843,77.11,81,90,3.18,overcast clouds
161,Dingle,PH,10.9995,122.6711,81.81,78,64,16.15,broken clouds
162,Kruisfontein,ZA,-34.0033,24.7314,65.88,97,100,1.99,overcast clouds
163,Brekstad,NO,63.687,9.6654,35.69,60,0,26.46,clear sky
164,Chuy,UY,-33.6971,-53.4616,62.49,77,83,7.4,broken clouds
165,Soligalich,RU,59.0778,42.2864,-2.29,99,64,2.95,broken clouds
166,Nemuro,JP,43.3236,145.575,42.06,68,5,8.05,clear sky
167,Rafraf,TN,37.1904,10.1837,46.71,66,36,16.2,scattered clouds
168,Nikolskoye,RU,59.7035,30.7861,0.81,96,27,5.35,scattered clouds
169,Humaita,BR,-7.5061,-63.0208,74.95,98,100,0.98,overcast clouds
170,Warrnambool,AU,-38.3833,142.4833,62.82,65,85,15.19,overcast clouds
171,Hajnowka,PL,52.7433,23.5812,31.01,83,100,3.0,overcast clouds
172,Nantucket,US,41.2835,-70.0995,36.09,66,100,7.09,overcast clouds
173,Labuhan,ID,-6.8844,112.2051,84.2,69,96,6.6,overcast clouds
174,Wamba,NG,8.9333,8.6,70.99,24,1,4.5,clear sky
175,Atuona,PF,-9.8,-139.0333,78.49,67,62,12.21,broken clouds
176,Hami,CN,42.8,93.45,29.46,46,100,4.36,overcast clouds
177,Svay Rieng,KH,11.0879,105.7993,76.15,63,96,15.46,overcast clouds
178,Kastamonu,TR,41.5,33.6667,34.72,84,0,2.59,clear sky
179,Sola,VU,-13.8833,167.55,82.8,73,100,6.58,overcast clouds
180,Dourbali,TD,11.8091,15.8632,68.38,17,2,7.83,clear sky
181,Odweyne,SO,9.4092,45.064,57.78,55,0,14.61,clear sky
182,Ilulissat,GL,69.2167,-51.1,21.22,49,81,11.5,broken clouds
183,Ahipara,NZ,-35.1667,173.1667,73.96,57,61,5.21,broken clouds
184,Rocky Mountain House,CA,52.3668,-114.9188,15.84,77,96,5.17,overcast clouds
185,Kanye,BW,-24.9667,25.3327,66.61,70,97,8.59,overcast clouds
186,Chifeng,CN,42.2683,118.9636,32.18,45,0,6.04,clear sky
187,Udachnyy,RU,66.4167,112.4,-15.56,82,96,7.07,overcast clouds
188,Karratha,AU,-20.7377,116.8463,100.98,22,13,3.67,few clouds
189,Ende,ID,-8.8432,121.6623,86.81,68,60,6.29,broken clouds
190,Victoria,HK,22.2855,114.1577,73.26,70,0,1.01,clear sky
191,Warri,NG,5.5167,5.75,77.0,89,6,2.71,clear sky
192,Margate,GB,51.3813,1.3862,47.3,94,100,1.99,light rain
193,Vikhorevka,RU,56.1201,101.1636,9.99,89,100,14.63,light snow
194,Kulachi,PK,31.9286,70.4592,56.93,25,0,5.86,clear sky
195,Assiniboia,CA,49.6334,-105.9845,16.72,83,5,10.94,clear sky
196,Tiksi,RU,71.6872,128.8694,-9.17,97,100,8.21,overcast clouds
197,Nacimiento,CL,-37.5,-72.6667,69.28,48,0,3.65,clear sky
198,Saldanha,ZA,-33.0117,17.9442,61.34,97,22,4.38,few clouds
199,Vardo,NO,70.3705,31.1107,22.19,82,25,22.32,scattered clouds
200,Yulara,AU,-25.2406,130.9889,89.44,14,1,12.66,clear sky
201,Necochea,AR,-38.5473,-58.7368,63.03,48,100,14.09,overcast clouds
202,Great Yarmouth,GB,52.6083,1.7305,44.46,92,100,18.03,overcast clouds
203,Bara,NG,10.3744,10.7288,66.27,27,3,7.05,clear sky
204,Tak,TH,16.5833,98.8333,71.91,69,22,2.68,few clouds
205,Kathmandu,NP,27.7167,85.3167,46.62,100,40,0.0,mist
206,Piacabucu,BR,-10.4056,-36.4344,79.66,84,100,12.06,overcast clouds
207,Sabzevar,IR,36.2126,57.6819,45.64,34,0,3.18,clear sky
208,Torbay,CA,47.6666,-52.7314,30.58,96,90,41.43,snow
209,Belaya Gora,RU,68.5333,146.4167,-41.08,98,96,2.64,overcast clouds
210,Sur,OM,22.5667,59.5289,69.75,49,0,3.49,clear sky
211,Shenjiamen,CN,29.9576,122.298,57.87,65,0,8.66,clear sky
212,Kidal,ML,18.4411,1.4078,65.79,9,100,10.18,overcast clouds
